character,dialogue,season,episode
Adora," I'm not brain damaged. It was here, I saw it.",1,01
Catra," Well, there's nothing here now. So, come on, let's go.",1,01
Glimmer," ""Dear Mom, I know you'll never read this, but I have to say it somewhere. I feel like you... don't respect me.   Watch it! You almost hit me!",1,01
Bow," Hey, Glimmer.",1,01
Glimmer," Shh! Bow, what are you doing here?",1,01
Bow, What did you say? Come down here.,1,01
Glimmer," I can't, I'm grounded.",1,01
Bow, What?,1,01
Glimmer, I'm grounded.,1,01
Bow, ...What?,1,01
Glimmer, I'm... grounded.,1,01
Bow, ,1,01
Glimmer,  I'm so mad at my mom.,1,01
Bow, Is this about the siege on Elberon?,1,01
Glimmer," I was just trying to defend another one our villages from falling into The Horde's Clutches. She stationed me all the way out here because it's too remote to ever get attacked, but then it did, and it was my one chance to prove that I can do this. But she acts like I can't do anything because I'm just a princess. ",1,01
Bow," That doesn't make any sense. Everyone here is a princess. I'm, like, the only one who's not a princess.",1,01
Glimmer,  Tell that to my mom.,1,01
Bow," Hey, where does this go?",1,01
Glimmer, Bottom drawer.,1,01
Bow," Anyway, your mom might have a point. Only reason you got out of there is because of your teleportation powers, and, let's face it, they don't always work that well.",1,01
Glimmer," Looking for support here, Bow!",1,01
Bow," I'm just saying, if you wanna prove yourself, it's gonna take more than running recklessly into any old battle. Luckily, I've got just the thing. Check this out. I detected a piece of First Ones tech in the Whispering Woods. A pretty powerful one, too, by the size of these readings. If you find this one and bring it back, your mom is bound to be impressed.",1,01
Glimmer, Did you forget I'm grounded?,1,01
Angella, Glimmer? Are you in there?,1,01
Glimmer, Uh...,1,01
Bow, Ah!,1,01
Angella, Glimmer?,1,01
Glimmer," Everything's fine, Mom.",1,01
Angella, Is someone else in there? I heard voices.,1,01
Glimmer, No one else is in here. Can you please just leave me alone?,1,01
Angella," I don't appreciate your tone right now, young lady.",1,01
Glimmer, What tone?,1,01
Angella, That attitude of yours is never gonna help you know.,1,01
Glimmer," Mom, you always tell me what to do-",1,01
Angella, You cannot act that way!,1,01
Glimmer, -And that's not fair!,1,01
Glimmer, I'm in.,1,01
Adora, ,1,01
Female Voice, Adora. Adora. Adora!,1,01
Adora, ,1,01
Catra," Hey, where are you going?",1,01
Adora, Back to the woods. There's something I need to figure out.,1,01
Catra, What? You're not--,1,01
Catra, What is wrong with you? You've been acting weird since we got back. Are you sure you're not brain damaged?,1,01
Adora," Look Catra, I know I saw something out there. It's ju- I just need to get another look. It feels important somehow.",1,01
Catra, Sounds good. Let's go.,1,01
Adora, No. I don't want you getting in trouble on my behalf. Just cover for me okay? I'll be back before anyone knows I'm gone.,1,01
Catra, Adora! Adora!,1,01
Bow, Come on! Come on!,1,01
Glimmer, Uh! Please tell me we're not lost!,1,01
Bow," No, this thing is just acting up. Looks like it's being overloaded by the tech's signal. We must be getting close!",1,01
Glimmer, Uhh... I think it's that way.,1,01
Bow," What makes you say that? Oh, yeah. That'll do it.",1,01
Adora," What are you doing out here, Adora? Catra's right, this is crazy. There's no sword, you just got hit on the head a little too hard. You should just go back home and forget about all of this.",1,01
Glimmer," Bow, just let me lead the way, okay?",1,01
Bow, The light came from the edge of the forest.,1,01
Glimmer," Yes, you saw the light. It's this way.",1,01
Bow, The trackpad says otherwise.,1,01
Glimmer, It's this way--,1,01
Bow and Glimmer, ,1,01
Adora, ,1,01
Glimmer, Horde soldier!,1,01
Bow, I see her!,1,01
Bow and Glimmer, ,1,01
Adora,  ,1,01
Glimmer," Bow, catch.",1,01
Adora, Give me the sword.,1,01
Adora, Get off. Stand down. I don't wanna hurt you.,1,01
Glimmer, Since when do Horde soldiers not want to hurt anyone?,1,01
Adora, What?,1,01
Female voice," Hello, Adora.",1,01
Adora, Who are you? What's going on?,1,01
Female voice," My name is Light Hope. I have been waiting a long time for you, but I could not reach you until you forged your connection with the sword.",1,01
Adora, You sent the sword?,1,01
Light Hope," The sword is meant for you. Etheria has need of you, Adora. Will you answer its call? Will you fight for the honor of Grayskull?",1,01
Adora, What are you talking about? What-- What is-- What's Grayskull? You're not making any sense! I don't understand!,1,01
Light Hope, You will.,1,01
Adora, Wait!,1,01
Adora, ,1,01
Bow, Hey! She's awake.,1,01
Adora, What happened?,1,01
Glimmer," Quiet, Horde spy, I ask the questions. How did you make it this far into the Whispering Woods?",1,01
Adora, I just walked in. And I'm not a spy.,1,01
Glimmer," Sure, sure. You just so happened to find yourself in the Whispering Woods, like you just so happened to try and steal our sword.",1,01
Adora, It's not yours. I found it first.,1,01
Glimmer," The Whispering Woods is under the Rebellion's protection. You were lucky to make it as far as you did. Come on, Bow. Let's get this spy back to Bright Moon where she can be interrogated properly. This is perfect. Not only do we First Ones tech for the rebellion, we've also captured a Horde spy. My mom's gonna be so impressed. Now come on, on your feet.",1,01
Bow," You positive we're going the right way, Glimmer?",1,01
Glimmer," I know what I'm doing, Bow. Can you please just trust me for once?",1,01
Bow," You know I always trust you, but I'm starting to get a little freaked out. I mean, I pretty much grew up in these woods and I've never even seen this part of them. I've heard stories about weird stuff out here.",1,01
Glimmer," It's fine, okay? Just let me figure this out.",1,01
Bow," Okay! Touchy. Sorry about her. Usually she's really nice. Not much for talking, huh?",1,01
Adora, I prefer not to swap pleasantries with my captors.,1,01
Bow, Fair. Suit yourself.,1,01
Adora," You know she's a princess, right? How can you follow her? Princesses are a dangerous threat to everyone on Etheria.",1,01
Bow, Is that what Hordak told you?,1,01
Adora, Well I thought it was just common knowledge. They're violet instigators who don't even know how to control their powers.,1,01
Glimmer, ,1,01
Bow," You've never actually met a princess, have you?",1,01
Adora,"  Well, maybe not in person, but...",1,01
Glimmer, ,1,01
Adora, What happened to this place.,1,01
Glimmer, Don't play dumb with me. I bet you were part of the raiding party that did this.,1,01
Adora, What are you talking about? The Horde didn't do this.,1,01
Glimmer," Oh yeah? You're a heartless destroyer, just like all the rest of your people.",1,01
Adora, I'm not a destroyer. Hordak says we're doing what's best for Etheria. We're trying to make things better. More orderly.,1,01
Glimmer," This is what's best for Etheria? Ever since The Horde got here, they've been poisoning our land, burning our cities, destroying everything in their path. And you're a part of it! How's that for orderly?",1,01
Adora, This doesn't make any sense. The Horde would never do something like this.,1,01
Bow," Did you really not know any of this? I mean, your army is called the Evil Horde.",1,01
Adora, Who calls us that?,1,01
Bow, ...Everybody!,1,01
Adora, The Horde rescued me when I was a baby and gave me a home. They're my family. You-- you don't know them like I do.,1,01
Bow, Maybe you don't know them like you think you do.,1,01
Glimmer,  There's something out there. Something big.,1,01
Bow, How big?,1,01
Bow," So, pretty big then.",1,01
Bow, Watch out!,1,01
Glimmer, ,1,01
Glimmer, ,1,01
Adora," Hey, bug brain! Come on, Magic Sword. Oh, where's a blinding flash of light when you need one? ",1,01
Light Hope, Adora. Adora. Adora.,1,01
Light Hope, Will you fight for the honor of Grayskull?,1,01
, .. honor of Grayskull?,1,01
Adora, For the honor of Grayskull!,1,01
Bow, Glimmer?,1,02
Glimmer," Yeah, I see her, Bow.",1,02
Bow, Okay. I wanted to make sure it wasn't just me.,1,02
Adora,   Huh?,1,02
Glimmer, Stay where you are!,1,02
Adora, What did you do to me?,1,02
Glimmer, What do you mean what did 'I' do to you?,1,02
Adora, I didn't know being a princess was contagious!,1,02
Bow," Okay, okay, everyone, calm down! Wanna tell us how you did that?",1,02
Adora," I didn't do anything. All I did was pick up the sword, and then, woosh, I'm in a tiara!",1,02
Glimmer, I don't care how she did it. We just have to make sure she never does it again!,1,02
Bow, Do it again! Do it again!,1,02
Glimmer,  Bow!,1,02
Bow, Do what you did before.,1,02
Adora, I don't know what I did before!,1,02
Glimmer, No time. We have to go.,1,02
Adora, What is this place?,1,02
Bow," No idea, but in there's gotta be better than out here. ",1,02
Glimmer," Everyone, grab on, I can get us in there!",1,02
Bow," Glimmer, no! You've never teleported three people before.",1,02
Glimmer, Do you have a better idea?,1,02
Adora, What's written on this door? It looks like some kind of password.,1,02
Bow, You can read that?,1,02
Adora, You can't?,1,02
Bow, What's it say?,1,02
Adora," Uh, ""Eternia.""",1,02
Glimmer," Oh, come on!",1,02
Bow," So, Horde soldier, have you always been able to read First Ones' writing?",1,02
Glimmer, Wanna tell us what exactly is going on here?,1,02
Adora, I told you I don't know I just read the word on the door.,1,02
Glimmer," Right...  You read a word in a language that no one's spoken for a thousand years, and the door just opened into a mysterious ancient ruin. Sure.",1,02
Adora, You think I did this on purpose? You think I wanted to be a princess? Princesses are monsters.,1,02
Glimmer, Monsters? You're the monster!,1,02
Bow," Whoa, whoa, whoa, whoa. Glimmer, she did save us.",1,02
Glimmer," I don't care! We can't just trust her, Bow. Or have you forgotten everything the Horde's done to us? The people we're lost.  We need to find another way out of here and get her back to Bright Moon as soon as possible. My mother will know what to do with her.",1,02
Bow," Hey, so, thanks for saving us from that bug thing back there when you could've escaped instead.",1,02
Adora," Okay, well I didn't save you. I just wanted to get the sword, okay?",1,02
Bow, Are you sure it's not because you secretly like us?,1,02
Adora,  Wh--? I don't like you. You're my captors.,1,02
Bow, Sure.,1,02
Bow," Thanks for saving us anyway. I'm Bow, by the way.",1,02
Adora, Adora.,1,02
Bow," ""Adora."" Ah. Weird name for a Horde soldier.",1,02
Adora, Is it?,1,02
Glimmer,  For the honor of Grayskull.,1,02
Bow, What are we doing?,1,02
Glimmer," Nothing! I mean, uhh.. Look at these carvings. I think this might be a First Ones' ruin.",1,02
Adora, What's a First One?,1,02
Glimmer, You've never heard of the First Ones?,1,02
Bow," The First Ones are the original settlers of Etheria. They disappeared a thousand year ago, but they left behind a lot of old ruins and technology. Like this place.",1,02
Adora," So, what happened to them?",1,02
Bow, No one knows. They just disappeared. The Horde didn't tell you about them?,1,02
Adora, Seems like there's a lot the Horde didn't tell me.,1,02
Glimmer, Ugh. How do we get out of here?,1,02
Bow,"  It'll take forever to find a way out at this rate.  Hey! Wanna turn on some lights, Adora?",1,02
Adora, I don't know how to do that.,1,02
Bow," Maybe there's a magic word. Ooh, what's the First Ones' word for ""lights""?",1,02
Adora, I don't know. I'm not magic.,1,02
Glimmer," Obviously. Everyone, stand back.",1,02
Bow," Uh, Glimmer? Maybe you should take it easy. We're a long way from Bright Moon. It'll be awhile until you can recharge.",1,02
Glimmer, Bow!,1,02
Adora, You have to recharge your powers?,1,02
Glimmer," Can we not talk about this in front of the Horde soldier? Now, stand back.  ",1,02
Adora, Whoa. ,1,02
Glimmer, ,1,02
Bow, Wow. Are you okay?,1,02
Glimmer," I'm fine, Bow.",1,02
Bow, Oh hey! That's you!,1,02
Adora, What? That doesn't look anything like me.,1,02
Bow," No, I mean, the other you. The scary one in the cape.",1,02
Adora, That was me?,1,02
Bow," You can read that inscription, right? What's it say?",1,02
Adora," It says... ""She-Ra.""",1,02
Light Hope," Greetings, administrator.",1,02
Adora, What is this thing?,1,02
Light Hope, What is your query?,1,02
Bow, I think it's some kind of ancient hologram.,1,02
Light Hope, What is your query?,1,02
Bow, Uh... Hi. What is this place? How do we get out of here?,1,02
Light Hope, What is your query?,1,02
Bow, Welp. She's broken.,1,02
Glimmer, She's old. I'm surprised any of this stuff still works at all.,1,02
Light Hope, Administrator not detected. Lockdown initiated.,1,02
Glimmer, I didn't do it!,1,02
Bow," No. No. No lockdown! No lockdown! Adora, you gotta get it to stop!",1,02
Adora, What makes you think I can?,1,02
Light Hope, Query not recognized.,1,02
Bow, There's gotta be a password or something!,1,02
Adora," Uh, stop it! Uh, Eternia! Eternia! Give me the sword!",1,02
Glimmer, What? No!,1,02
Adora," We need the scary lady in the cape. I don't know how, but she's the key to this place, so maybe she can get us out.",1,02
Glimmer, You're a Horde soldier. I'm not giving you the sword.,1,02
Adora," Eternia! Uh, cape! Uh... She-Ra!",1,02
Glimmer, Hold on!,1,02
Bow," Glimmer, no!",1,02
Bow, Glimmer!,1,02
Bow, Glimmer? Glimmer!,1,02
Glimmer,  Did it work?,1,02
Bow,"  Yeah, it worked. Barely. Are you alright?",1,02
Glimmer, I'm fine.  I think I used too much power getting us out of there.,1,02
Bow," I don't know who could've predicted that... Oh, right. Me.",1,02
Glimmer, Bow...,1,02
Bow, Like an hour ago.,1,02
Glimmer, Bow!,1,02
Bow," Sorry. I'm just glad you're okay. No more teleporting for awhile, okay. You could really hurt yourself.",1,02
Glimmer," I'm fine, okay? Let's just get back to Bright Moon so I can recharge already. Why are you still here?",1,02
Adora, What?,1,02
Glimmer, Bow and I are hardly a crack security team. You could've escaped at any time. Why didn't you?,1,02
Adora," I just-- I wanna figure out what's happening to me, and if I go back to the Fright Zone, then I'll never know. I never knew where I came from or who my family was. Shadow Weaver said it didn't matter who I was before, that-- that I was nothing before Hordak took me in. There's always been a part of me that I don't know anything about an-- and all of this, it feels familiar somehow. I don't know how else to explain it.",1,02
Bow," Glimmer's mom knows more about First Ones' tech than anyone. She'll know what's going on with you and the sword for sure. So, if you want your questions answered, stick with us?",1,02
Glimmer, Let's go. There should be a village a few miles from here. They'll be able to give us a ride back to Bight Moon. We've wasted too much time already.,1,02
Shadow Weaver," For the last time, where is Adora?",1,02
Catra," For the last time, I don't know. You think I keep her on a leash?",1,02
Shadow Weaver, I know you're lying. You two are close. She would never depart without telling you.,1,02
Catra," Then I guess she let us both down, huh?",1,02
Shadow Weaver, Have it your way. I already know where she is. We've been tracking her.,1,02
Catra," Uh, then why did you ask me?",1,02
Shadow Weaver, Because you are going to bring her back.,1,02
Catra, I don't think so. ,1,02
Shadow Weaver, Your insolence will not protect her. You will do as I ask.,1,02
Catra," Oh, yeah? Or what?",1,02
Shadow Weaver, Or you will suffer the consequences in her place.,1,02
Glimmer," Okay, the jacket comes off.",1,02
Adora, Why?,1,02
Glimmer," If the villagers see a Horde soldier, they'll freak out. We gotta fix all this.",1,02
Adora, I feel ridiculous.,1,02
Bow, That’s ‘cause you need something to tie it all together.,1,02
Adora, I don't like it.,1,02
Glimmer," Point is, you don't look like a Horde soldier. Just keep a low profile. We'll be in and out.",1,02
Adora, What is this?,1,02
Bow, It's a festival. Like a big party. You don't have parties in the Fright Zone?,1,02
Adora," Oh, right, parties. I mean, yeah, pfft, of course. I, uh-- I don't know what that is.",1,02
Bow, Ah!,1,02
Glimmer," Did you even hear me? I said, in and out!",1,02
Bow," She has never been to a party before, Glimmer! This is serious.",1,02
Bow," So, seriously? No parties ever?  What do you guys do on your birthday?",1,02
Adora, Huh?,1,02
Bow, No birthdays?! How is your life this sad?,1,02
Adora,  What is that?,1,02
Bow, That would be a horse.,1,02
Adora, It's majestic.,1,02
Bow, You wanna go meet it?,1,02
Adora, What? No! ,1,02
Bow," Come on, it's okay. See, he likes you.",1,02
Adora,  This is the best day of my life.,1,02
Glimmer, Bow,1,02
Bow," Come on, I know you like her, too.",1,02
Adora, What's going on?,1,02
Glimmer, It's the Horde!,1,02
Bow, Why are they here? The people of Thaymor aren't a threat.,1,02
Adora, Did you say Thaymor? This can't be Thaymor.,1,02
Glimmer, Did you know something about this?,1,02
Adora," No. I mean, yes. But there's a mistake. Thaymor's supposed to be a heavily fortified rebel fortress, not a civilian town!",1,02
Glimmer, Do you really think that matters to them?,1,02
Adora, This is a big mistake. I just need to talk to them. Get as many people out as you can. I'm sorry!,1,02
Glimmer, Adora!,1,02
Adora, Stop!,1,02
Catra, Adora!,1,02
Adora, Catra?,1,02
Catra, They let me drive a tank. Believe it?,1,02
Adora, I don't understand. Why are you here?,1,02
Catra," Uh, duh, we came to find you. ""Cover for me, Catra. No one will even  know I'm gone."" Did you just get immediately captured right after you snuck out--? What are you wearing?",1,02
Glimmer, Uh Bow! ,1,02
Bow, Hey!,1,02
Adora, There's no time. We have to stop this.,1,02
Catra, What? Why?,1,02
Adora, Look around. This is a civilian town. These aren't insurgents. They're innocent people.,1,02
Catra," Yeah, innocent people who kidnapped a Horde officer. Let's get back to the Fright Zone. Shadow Weaver is freaking out.  It'd be funny if she weren't such a terrible person.",1,02
Adora," Catra, no. I can't go back. Not until the Horde leaves this town alone. Help me.",1,02
Catra, What are you saying?,1,02
Adora," I’m saying, this is wrong. They've been lying to us, manipulating us. Hordak, Shadow Weaver, all of them.",1,02
Catra, Duh! Did ya just figure that out? Manipulation is Shadow Weaver's whole thing. She's been messing with our heads since we were kids.,1,02
Adora, How could you possibly be okay with that?,1,02
Catra," Because, it doesn't matter what they do. The two of us look out for each other. And soon we'll be calling the shots. Now, can we go home?",1,02
Adora, I'm not going home. Not after everything I've seen. Come with me. You don't have to go back there. We can fix this.,1,02
Catra," Are you kidding? You've known these people for, what, a couple hours? And you're just gonna throw everything away for them? Ugh. What happened to you?",1,02
Adora," I don't know. But I have to do something. I'm sorry, Catra!",1,02
Bow, Ah! I think that's all of them. What will we do?,1,02
Glimmer, There's nothing we can do. You're almost out of arrows and I'm almost out of magic.,1,02
Bow," You can't say that. You're Glimmer. You throw yourself into every fight, no matter how hopeless.",1,02
Glimmer," Ugh. Every decision I've made in the past day has almost gotten us killed. My mom's right, I'm not ready for this.",1,02
Bow," No. You are not giving up now. I’m sorry your mom doesn't see how strong you are. You can do this, Glimmer, and you’re not alone.",1,02
Glimmer, You're right. We need Adora.,1,02
Bow, Didn't she just sell us out to the Horde?,1,02
Glimmer, I don't think she did. We need to find her. She can help us. Just trust me. Okay?,1,02
Catra," Oh, man. That was a lot stronger than I thought. Are you okay?",1,02
Adora, Catra!,1,02
Catra, Sorry! It was a reflex.,1,02
Adora, Why are you doing this?,1,02
Catra," Because you left me. And if I don't bring you back, Shadow Weaver’s gonna have my head. So, enough with your weird little identity crisis and let's go home. Or do I need to zap you again? ",1,02
Adora, Glimmer?,1,02
Glimmer, Watch out!,1,02
Catra, Adora!,1,02
Adora, What are you doing? Why did you save me?,1,02
Glimmer, We need you. We need She-Ra. I should've given this back to you in the ruin. You could've saved us and I knew that. But I was stupid. And a jerk. And I'm sorry!,1,02
Adora, You're not a jerk. I'm the Horde soldier. How do you know you can trust me now?,1,02
Glimmer, I don't. But I hope I can. I feel like maybe you're here to help us.,1,02
Adora, For the honor of Grayskull!,1,02
Bow," It's been an honor serving beside you, Horsey.",1,02
Glimmer, Bow! Are you okay?,1,02
Bow, Is that Adora?,1,02
Glimmer, It's She-Ra.,1,02
Horde soldier, Retreat!,1,02
Adora, Catra...,1,02
Glimmer, You did it!,1,02
Adora, I did?,1,02
Glimmer, You saved us. You saved everyone!,1,02
Adora,  I did it. I turned against the Horde. I turned against the Horde!  I can't go back now. Where am I supposed to go?,1,02
Glimmer," Hey, hey. It's okay. You're with us now. C’mon, let's go home.",1,02
Bow," Best-friends squad! Wait, whose horse was this?",1,02
Bow," Hey, we made it.",1,03
Adora, Whoa.,1,03
Glimmer, Welcome to Bright Moon.,1,03
Adora, It’s so beautiful.,1,03
Glimmer," Okay, I just need to go in there, recharge, and deal with my mom.  This’ll be fun.",1,03
Glimmer," Uh, Bow? Maybe we should take Adora in the back way?",1,03
Bow," Oh, yeah. Good call.",1,03
Adora, What’s the back way?,1,03
Adora, This is the back way?,1,03
Bow," It might seem weird, but we totally come in this way all the time.",1,03
Bow," Oh! Hey, here. Why don’t you put this robe on? No reason.",1,03
Adora, You’re trying to hide me.,1,03
Bow,  What? No!,1,03
Angella, Glimmer! Where have you been?,1,03
Glimmer," Hey, mom.",1,03
Angella, All of Bright Moon has been worried sick. What were you thinking?,1,03
Glimmer, Mom!,1,03
Angella,  How could you be so selfish and disobedient?,1,03
Glimmer, ,1,03
Angella,  Glimmer.,1,03
Glimmer, ,1,03
Angella, Are you all right?,1,03
Glimmer," I’m fine, mom.",1,03
Angella, Don’t think you’re not still in trouble. You didn’t even take the time to charge up before you left?,1,03
Glimmer, I didn’t think I’d be gone that long.,1,03
Angella," Where did you go, anyway?",1,03
Glimmer," Okay. Bow and I found a piece of super powerful First Ones tech in the woods. We knew it would really help the Rebellion, so we went to get it and bring it back. But we got a little sidetracked. It was fine, though, and I totally had it under control. And while we were out there, we found something even better!",1,03
Angella, What did you find?,1,03
Glimmer, I can’t tell you yet. But you’re gonna love it. I promise!,1,03
Angella, Glimmer—,1,03
Glimmer, Ah! Just wait here. I’ll be right back.,1,03
Angella," We are not done talking about this, Glimmer. Glimmer!",1,03
Adora," Okay, I get it. I’m guessing the people of Bright Moon are gonna be a little less welcoming of a Horde soldier than you led me to believe.",1,03
Bow, Maybe a little.,1,03
Adora, How little?,1,03
Bow, Think pitchforks and torches.,1,03
Bow, It’s just that the people of Bright Moon have been really hurt by the Horde. Everyone here has lost someone in the war. You can’t blame them for being a little suspicious.,1,03
Adora, Sorry.,1,03
Bow," Hey, it’s not your fault. Once they get to know you, the people of Bright Moon are going to trust you just like Glimmer and I already—",1,03
Glimmer,"  I’m here! Okay, my mom’s on her way, but no one panic.",1,03
Adora, What?,1,03
Glimmer,  I said no one panic!,1,03
Glimmer," Don’t worry, she’ll love you. All you have to do is use the sword to transform into She-Ra before she gets here.",1,03
Bow," Wait, we’re jumping straight to She-Ra with your mom? Are you sure?",1,03
Glimmer," Yeah, I don’t think my mom is going to buy, “Hey mom, we found a Horde soldier. Can we keep her?”",1,03
Glimmer, My mom is gonna love She-Ra. We can ease her into the Horde stuff later.,1,03
